--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
083.334  004.993  000.047: require('config.tabline')
083.550  000.067  000.067: require('config.palette')
083.735  000.047  000.047: require('lualine_require')
084.067  000.515  000.468: require('lualine')
084.482  000.021  000.021: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.902  000.007  000.007: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.917  000.004  000.004: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.928  000.003  000.003: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.935  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.942  000.003  000.003: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.950  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.955  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.964  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.969  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
084.975  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
